SampleNumber,Week,Location,KelpNumber,X_mm,Y_mm,Z_mm,XYZ,Age_yrs,TotalDis_ml,ActualDis_ml,Biospace_ml,LogBiospace,LnBio,WetWeight_g,EC_num,EC_WW_g,EC_carapace_mm,EC_sex,EC2_WW_g,EC2_carapace_mm,EC2_sex,OtherCrustacea,Bivalves,Gastropods,Polycheate,Arthropods_NotCrustacea,Megalopa,Cnidaria,Echinoderms,TotalNonEC
1,1,SA,1,109,98,54,576828,4,125,,125,2.096910013,4.828313737,,0,,,,,,,0,6,1,16,0,0,0,0,23
2,1,SA,2,60,90,40,216000,3,125,15,110,2.041392685,4.700480366,15,1,NA,NA,NA,,,,0,6,1,2,0,0,0,0,9
3,1,SA,3,68,79,55,295460,4,150,40,110,2.041392685,4.700480366,45.62,0,,,,,,,0,11,6,2,3,0,0,0,22
4,1,SA,4,23,49,60,67620,4,50,18,32,1.505149978,3.465735903,23,0,,,,,,,0,4,1,31,0,0,0,0,36
5,1,SA,5,100,85,45,382500,4,50,15,35,1.544068044,3.555348061,20,0,,,,,,,0,1,1,16,0,0,0,0,18
6,1,SA,6,90,105,20,189000,3,60,30,30,1.477121255,3.401197382,35,0,,,,,,,1,5,3,0,0,0,0,0,9
7,1,SA,7,80,18,70,100800,2,75,20,55,1.740362689,4.007333185,24,1,0.234,9.6,F,,,,0,3,0,0,0,1,0,0,4
8,1,SA,8,34,62,47,99076,3,80,13,67,1.826074803,4.204692619,14,0,,,,,,,0,14,1,17,0,0,0,0,32
9,1,SA,9,40,100,90,360000,3,175,55,120,2.079181246,4.787491743,64.77,0,,,,,,,1,4,2,0,0,0,0,0,7
10,1,SA,10,24,85,66,134640,3,100,22,78,1.892094603,4.356708827,26,0,,,,,,,0,4,2,10,0,1,0,0,17
11,1,SA,11,77,40,90,277200,3,125,30,95,1.977723605,4.553876892,37.82,0,,,,,,,0,3,0,2,0,0,0,0,5
12,1,SA,12,116,90,45,469800,4,100,20,80,1.903089987,4.382026635,21,0,,,,,,,0,0,0,3,0,0,0,0,3
13,1,SA,13,75,95,17,121125,3,100,20,80,1.903089987,4.382026635,27,0,,,,,,,0,4,0,9,1,0,0,0,14
14,1,SA,14,68,115,24,187680,4,100,20,80,1.903089987,4.382026635,22,0,,,,,,,7,15,2,20,0,1,0,0,45
15,1,SA,15,80,45,64,230400,3,125,22,103,2.012837225,4.634728988,24.95,0,,,,,,,0,4,0,0,0,0,0,0,4
16,1,SA,16,89,77,38,260414,4,75,15,60,1.77815125,4.094344562,16,0,,,,,,,0,1,0,3,0,0,0,0,4
17,1,SA,17,100,115,25,287500,3,200,40,160,2.204119983,5.075173815,47.95,0,,,,,,,1,15,0,6,0,0,0,0,22
18,1,SA,18,64,38,70,170240,4,125,30,95,1.977723605,4.553876892,35,0,,,,,,,0,11,0,0,0,0,1,0,12
19,1,SA,19,138,115,28,444360,3,150,20,130,2.113943352,4.86753445,26.13,0,,,,,,,1,16,1,41,1,0,0,0,60
20,1,SA,20,80,120,35,336000,4,80,50,30,1.477121255,3.401197382,49,0,,,,,,,1,0,1,76,0,1,0,0,79
21,1,SA,21,110,100,58,638000,4,150,30,120,2.079181246,4.787491743,34,0,,,,,,,0,11,1,0,0,0,0,1,13
22,1,SA,22,72,38,86,235296,4,250,50,200,2.301029996,5.298317367,48.7,0,,,,,,,0,5,0,6,0,0,0,0,11
23,1,SA,23,76,110,30,250800,3,75,26,49,1.69019608,3.891820298,33,0,,,,,,,2,7,0,10,0,0,0,0,19
24,1,SA,24,85,135,35,401625,3,200,55,145,2.161368002,4.976733742,64.72,1,NA,NA,NA,,,,1,25,3,0,0,0,0,2,31
25,1,SA,25,11,98,105,113190,3,100,35,65,1.812913357,4.17438727,40,2,0.289,12.47,M,0.094,6.7,M,0,2,0,4,0,0,0,0,6
26,1,D,1,90,87,22,172260,2,75,16,59,1.770852012,4.077537444,17,0,,,,,,,0,1,8,4,2,0,0,0,15
27,1,D,2,79,69,41,223491,2,60,6,54,1.73239376,3.988984047,8,0,,,,,,,0,0,0,0,0,0,0,0,0
28,1,D,3,101,74,21,156954,2,125,18,107,2.029383778,4.672828834,18,0,,,,,,,2,3,0,0,0,2,0,1,8
29,1,D,4,149,136,38,770032,3,150,12,138,2.139879086,4.927253685,47,0,,,,,,,3,2,1,14,2,0,0,4,26
30,1,D,5,69,65,24,107640,2,60,12,48,1.681241237,3.871201011,14,0,,,,,,,1,1,2,0,1,0,0,1,6
31,1,D,6,119,107,35,445655,2,225,34,191,2.281033367,5.252273428,38,1,0.0793,7.43,NA,,,,2,1,4,0,0,0,0,1,8
32,1,D,7,153,114,21,366282,3,200,38,162,2.209515015,5.087596335,43,0,,,,,,,1,2,1,1,0,2,0,0,7
33,1,D,8,94,57,50,267900,3,75,18,57,1.755874856,4.043051268,22,0,,,,,,,7,4,2,3,7,0,0,2,25
34,1,D,9,1089,77,43,3605679,3,100,30,70,1.84509804,4.248495242,35,0,,,,,,,1,0,2,0,0,0,0,0,3
35,1,D,10,94,83,33,257466,3,110,32,78,1.892094603,4.356708827,37,0,,,,,,,5,0,1,1,0,0,0,0,7
36,1,D,11,135,103,38,528390,3,200,40,160,2.204119983,5.075173815,49,0,,,,,,,8,0,1,4,1,0,0,3,17
37,1,D,12,111,59,55,360195,3,75,20,55,1.740362689,4.007333185,25,0,,,,,,,2,2,13,5,1,0,0,0,23
38,1,D,13,113,70,25,197750,3,200,21,179,2.252853031,5.187385806,36,0,,,,,,,11,0,3,3,1,1,0,1,20
39,1,D,14,109,62,48,324384,3,125,31,94,1.973127854,4.543294782,34,0,,,,,,,11,0,1,2,6,0,0,4,24
40,1,D,15,90,72,35,226800,3,75,21,54,1.73239376,3.988984047,25,0,,,,,,,5,0,2,6,4,0,0,0,17
41,1,D,16,134,102,41,560388,3,150,48,102,2.008600172,4.624972813,53,0,,,,,,,2,2,2,4,1,0,0,5,16
42,1,D,17,110,74,50,407000,4,140,46,94,1.973127854,4.543294782,51,0,,,,,,,3,0,3,4,0,0,0,1,11
43,1,D,18,110,79,60,521400,5,170,40,130,2.113943352,4.86753445,49,0,,,,,,,2,0,1,4,1,1,0,0,9
44,1,D,19,105,90,32,302400,3,100,24,76,1.880813592,4.33073334,30,0,,,,,,,1,1,1,4,0,0,0,1,8
45,1,D,20,114,75,47,401850,3,100,20,80,1.903089987,4.382026635,27,0,,,,,,,1,2,3,5,1,0,0,0,12
46,1,D,21,100,95,42,399000,3,150,80,70,1.84509804,4.248495242,63,0,,,,,,,38,7,5,10,0,0,0,13,73
47,1,D,22,78,120,39,365040,4,250,48,202,2.305351369,5.308267697,45,0,,,,,,,1,0,3,0,1,0,0,3,8
48,1,D,23,134,98,42,551544,3,225,50,175,2.243038049,5.164785974,96,0,,,,,,,2,0,1,3,5,0,0,2,13
49,1,D,24,112,95,52,553280,3,250,34,216,2.334453751,5.375278408,41,0,,,,,,,2,1,6,7,0,0,0,0,16
50,1,D,25,90,110,30,297000,4,123,32,91,1.959041392,4.510859507,39,1,1.1406,18,NA,,,,0,1,2,0,0,0,0,0,3
51,1,B,1,94,97,29,264422,3,110,30,80,1.903089987,4.382026635,33,1,0.1822,9,NA,,,,0,10,2,21,0,0,0,0,33
52,1,B,2,50,114,84,478800,4,500,30,470,2.672097858,6.152732695,31,0,,,,,,,0,7,1,1,0,0,0,3,12
53,1,B,3,93,93,38,328662,3,100,22,78,1.892094603,4.356708827,33,1,1.6695,19.7,NA,,,,0,1,1,5,0,0,0,1,8
54,1,B,4,26,122,125,396500,3,400,50,350,2.544068044,5.857933154,63,0,,,,,,,4,0,0,5,0,0,0,6,15
55,1,B,5,99,90,29,258390,3,125,28,97,1.986771734,4.574710979,21,1,NA,1.87,NA,,,,0,13,0,5,0,0,0,0,18
56,1,B,6,34,124,110,463760,4,150,20,130,2.113943352,4.86753445,36,0,,,,,,,0,0,1,3,0,0,1,0,5
57,1,B,7,38,104,82,324064,4,100,26,74,1.86923172,4.304065093,24,0,,,,,,,0,0,0,16,0,0,0,0,16
58,1,B,8,20,99,90,178200,4,90,14,76,1.880813592,4.33073334,17,0,,,,,,,0,18,3,0,0,0,0,0,21
59,1,B,9,100,78,26,202800,3,70,14,56,1.748188027,4.025351691,16,0,,,,,,,1,7,0,12,1,0,0,0,21
60,1,B,10,29,114,54,178524,3,75,20,55,1.740362689,4.007333185,27,0,,,,,,,2,0,4,4,1,1,0,4,16
61,1,B,11,105,97,52,529620,3,275,34,241,2.382017043,5.484796933,39,0,,,,,,,1,10,1,12,0,0,0,5,29
62,1,B,12,38,112,76,323456,3,125,20,105,2.021189299,4.65396035,24,0,,,,,,,0,4,0,13,0,0,0,0,17
